ID: 682bd082-42a3-416f-9def-e304c43ca2b5, Content: Where do you study?, Number: 1, QuestionType: Study 🎓
ID: e87a115c-98dd-40d3-b712-387217595f69, Content: What subject are you currently studying?, Number: 2, QuestionType: Study 🎓
ID: 7d570a28-3750-4af0-b371-dba020a989fd, Content: How do you usually prepare for your exams?, Number: 3, QuestionType: Study 🎓
ID: d9b0df6e-4d95-4b57-b7cb-36b99ebca422, Content: Do you prefer studying alone or in a group? Why?, Number: 4, QuestionType: Study 🎓
ID: bcb204e2-e6e1-4b8e-b51b-4c72cf06a805, Content: How do you think education has changed over the years?, Number: 5, QuestionType: Study 🎓
ID: b94c85b3-c219-4258-a3f6-a6579d2a66eb, Content: What kind of facilities do you think are important for a good study environment?, Number: 6, QuestionType: Study 🎓
ID: 72eed1cb-9acd-4c7c-b136-c2887b4e8487, Content: Are you satisfied with the education system in your country? Why or why not?, Number: 7, QuestionType: Study 🎓
ID: 2ebcde43-0ad5-4d58-83ed-79a8e6dce3ef, Content: Do you think it's important to have a good relationship with your teachers? Why?, Number: 8, QuestionType: Study 🎓
ID: 3363c453-f404-45df-932f-8a4b36c7c05c, Content: What advice would you give to someone who is struggling with their studies?, Number: 9, QuestionType: Study 🎓
ID: df4f27a1-4461-434d-9a62-c3a8297a0d8f, Content: Do you think it's necessary to go to university to be successful in life?, Number: 10, QuestionType: Study 🎓
ID: 497074a2-4107-43c0-99b9-8681980a137a, Content: What are your hobbies?, Number: 1, QuestionType: Hobby 😊
ID: c75a8a2b-afc3-4cec-9783-73e9b9adcbce, Content: How did you develop an interest in your hobbies?, Number: 2, QuestionType: Hobby 😊
ID: 42c4e1f1-f6b3-4087-a297-9380b3591069, Content: Do you think hobbies are important? Why?, Number: 3, QuestionType: Hobby 😊
ID: 3885b43f-fdd4-4e34-aabf-1273f296fd2f, Content: How do you find time for your hobbies?, Number: 4, QuestionType: Hobby 😊
ID: 3930258d-ac6f-4f6b-89b7-fb62478a5717, Content: Have your hobbies changed over the years? Why or why not?, Number: 5, QuestionType: Hobby 😊
ID: f58204f7-97d9-49c2-b7bb-7b9843e7a902, Content: Do you prefer indoor or outdoor hobbies? Why?, Number: 6, QuestionType: Hobby 😊
ID: d232d54d-2b9c-4dfd-a717-e824d03c62dd, Content: What benefits do you think hobbies bring to people's lives?, Number: 7, QuestionType: Hobby 😊
ID: 6ff196c8-9cd2-497c-85aa-8946fa1e73cd, Content: Would you like to turn your hobby into a profession? Why or why not?, Number: 8, QuestionType: Hobby 😊
ID: e4f2cf88-e40a-4387-a381-bec921a33bd3, Content: Do you think people should try new hobbies? Why?, Number: 9, QuestionType: Hobby 😊
ID: 5b75a33d-a1c4-4bf7-9007-5cc34236026a, Content: How do you think technology has affected people's hobbies in recent years?, Number: 10, QuestionType: Hobby 😊
ID: 5dac6a9a-db3e-4467-811b-a1f358ca4fa9, Content: Tell me about your family., Number: 1, QuestionType: Family 🏠
ID: 4054448e-b17b-40f2-9e6e-f277882c2e08, Content: How often do you spend time with your family?, Number: 2, QuestionType: Family 🏠
ID: 31f8c1db-e592-4d9b-aa62-5031b06b5b07, Content: What activities do you usually do together as a family?, Number: 3, QuestionType: Family 🏠
ID: 29056ace-6f96-4796-9fe5-bb8d0f015003, Content: Do you think it's important to maintain strong family bonds? Why?, Number: 4, QuestionType: Family 🏠
ID: abc69c04-48f6-4902-967d-7ed9b5635e3a, Content: What role do grandparents play in your family?, Number: 5, QuestionType: Family 🏠
ID: 1b502934-1746-43b4-bd00-14ddc0cb434c, Content: How has your family influenced your life choices?, Number: 6, QuestionType: Family 🏠
ID: 1890dd54-fb4d-4041-9d01-38097f5afa73, Content: Do you think family dynamics have changed in recent years? How?, Number: 7, QuestionType: Family 🏠
ID: f02520e6-1a42-4d94-99d2-226f0e500dd1, Content: How do families typically celebrate special occasions in your culture?, Number: 8, QuestionType: Family 🏠
ID: 3ed3e707-906d-41c8-8d5e-7327976cb89c, Content: What responsibilities do you have within your family?, Number: 9, QuestionType: Family 🏠
ID: 38e7104d-6dc1-414b-98e9-6b5a6c5349f0, Content: How do you resolve conflicts within your family?, Number: 10, QuestionType: Family 🏠
ID: 1898903c-0ebc-4c46-b54a-971e07f7732f, Content: Do you enjoy traveling? Why or why not?, Number: 1, QuestionType: Travel ✈️
ID: a11cb1be-8c3d-48e8-995e-24281655bfb3, Content: What is your favorite mode of transportation when traveling? Why?, Number: 2, QuestionType: Travel ✈️
ID: bbc6a6a4-9273-45e8-bb21-9dfeac2c0604, Content: Where is the most interesting place you've ever visited?, Number: 3, QuestionType: Travel ✈️
ID: d2f8ae01-af0f-4ef2-af41-6574f1749200, Content: Do you prefer to travel alone or with others? Why?, Number: 4, QuestionType: Travel ✈️
ID: 4d6acf98-a293-4013-bdf9-988d47a59d27, Content: How do you think traveling broadens one's horizons?, Number: 5, QuestionType: Travel ✈️
ID: b23bed0b-5516-4a6c-81be-46bd3cacaa81, Content: What do you think are the benefits of traveling to different countries?, Number: 6, QuestionType: Travel ✈️
ID: 792365d7-f81d-4975-bcb4-5ed0aa2b95ea, Content: What kind of travel experiences do you think are the most valuable?, Number: 7, QuestionType: Travel ✈️
ID: c9e1dc6d-7205-40e5-ae86-a5eb4a0df6a7, Content: How do you plan your trips?, Number: 8, QuestionType: Travel ✈️
ID: f88fa519-d57b-4ea7-8396-773173d49d79, Content: Do you think it's important to learn about the culture of the places you visit? Why?, Number: 9, QuestionType: Travel ✈️
ID: 65549f1c-0b19-4660-bf6d-cde5c744d588, Content: How do you think technology has changed the way people travel?, Number: 10, QuestionType: Travel ✈️
ID: 897a2228-50cc-48e1-bfa2-28eedd87fa3e, Content: What is your current job?, Number: 1, QuestionType: Work 💼
ID: 9afeb426-e5f9-4893-ab60-05d73d5024df, Content: Do you enjoy your work? Why or why not?, Number: 2, QuestionType: Work 💼
ID: 434b6822-4305-4acd-8800-878485aca503, Content: What are your main responsibilities at work?, Number: 3, QuestionType: Work 💼
ID: d6711618-114f-4675-9eb7-422a34976233, Content: How did you choose your career?, Number: 4, QuestionType: Work 💼
ID: 6705eed1-0d93-492c-949f-6633344cef1f, Content: What skills do you think are important for success in your field?, Number: 5, QuestionType: Work 💼
ID: b743ea04-5894-4b95-bea2-2f26d2644f19, Content: How do you balance your work and personal life?, Number: 6, QuestionType: Work 💼
ID: b39f068e-a85c-4be3-97d2-46f04ef09ba5, Content: What changes would you like to see in your workplace?, Number: 7, QuestionType: Work 💼
ID: 36f1b5b0-9f26-40b7-8687-36c588f5228e, Content: How do you handle stress at work?, Number: 8, QuestionType: Work 💼
ID: b5f98023-d1c6-4dff-aa7d-72a59d6a9488, Content: What do you think the future of work will look like?, Number: 9, QuestionType: Work 💼
ID: eef1f5e0-066f-4e95-926e-3b9a90116fa8, Content: Do you think it's important to enjoy your job? Why?, Number: 10, QuestionType: Work 💼
ID: 85326b93-8bfc-4228-be28-8636736c8f75, Content: Can you describe your hometown?, Number: 1, QuestionType: Hometown 🏡
ID: 60001f28-a812-4374-9a80-0c361731fa66, Content: What do you like most about your hometown?, Number: 2, QuestionType: Hometown 🏡
ID: 0f0a7acb-b38a-42dd-9ecb-e7a1b1667388, Content: How has your hometown changed over the years?, Number: 3, QuestionType: Hometown 🏡
ID: e39bb579-019e-4165-be2a-59ab29a29e9c, Content: What are some popular attractions or landmarks in your hometown?, Number: 4, QuestionType: Hometown 🏡
ID: 7153e451-2750-430a-8976-1be4acb2cf43, Content: What kind of activities are available for visitors in your hometown?, Number: 5, QuestionType: Hometown 🏡
ID: 1744f20a-2dfc-4268-97f6-5c6a85e20077, Content: Do you think your hometown is a good place to live? Why or why not?, Number: 6, QuestionType: Hometown 🏡
ID: 85a753c2-9f9b-4ba9-b45c-8053a923053d, Content: What is the weather like in your hometown?, Number: 7, QuestionType: Hometown 🏡
ID: 452c8db6-0ee5-446a-a23d-a5da36dd0c92, Content: How do people typically spend their leisure time in your hometown?, Number: 8, QuestionType: Hometown 🏡
ID: 005e29d0-95a3-495f-b058-8d66032f9ad3, Content: What are the main industries or sources of employment in your hometown?, Number: 9, QuestionType: Hometown 🏡
ID: 1b640e79-0b93-4c55-bdfc-d2bcfd48cfbe, Content: How do you think growing up in your hometown has influenced you?, Number: 10, QuestionType: Hometown 🏡
ID: b458dadf-7f26-46ce-b13d-fa01d11b6f2f, Content: Can you describe your home?, Number: 1, QuestionType: Home 🏡
ID: a697b721-a4ed-4e85-a98c-a4bab6850311, Content: What do you like the most about your home?, Number: 2, QuestionType: Home 🏡
ID: b5543df8-fec4-496b-8dbb-8a4c8a4fe015, Content: How long have you lived in your current home?, Number: 3, QuestionType: Home 🏡
ID: f445a225-c8f9-441b-886b-2140542399f8, Content: Do you prefer living in a house or an apartment?, Number: 4, QuestionType: Home 🏡
ID: bb08361e-f924-4b87-b9b0-02b7f17e7407, Content: What is your favorite room in your home and why?, Number: 5, QuestionType: Home 🏡
ID: 58e216e3-ff45-4a24-9a98-cfe0f64397d4, Content: Are there any changes you would like to make to your home?, Number: 6, QuestionType: Home 🏡
ID: 007e8354-5d4b-44c1-a4b4-eec73a5817d0, Content: Who do you live with in your home?, Number: 7, QuestionType: Home 🏡
ID: 56dbb43d-26f0-4ffe-b540-adb0f8d2486d, Content: What makes a house feel like a home to you?, Number: 8, QuestionType: Home 🏡
ID: 3107d650-e086-489e-9a47-d43b41e35c33, Content: Do you enjoy spending time at home or outside more?, Number: 9, QuestionType: Home 🏡
ID: 10ce654a-7009-4b7c-af47-959a6b9a183c, Content: Can you share a special memory related to your home?, Number: 10, QuestionType: Home 🏡
ID: 15351a5b-b4ed-4dcc-927c-560a9b5e78d6, Content: Do you enjoy looking at art?, Number: 1, QuestionType: Art 🎨
ID: 62f95823-9273-4ebe-a7ac-275a05abd31c, Content: Have you ever tried creating art yourself?, Number: 2, QuestionType: Art 🎨
ID: 6b0216ab-06eb-4cf7-99ad-f31ec42ff313, Content: What kind of art do you like the most?, Number: 3, QuestionType: Art 🎨
ID: a070fdca-8885-4cc0-b0a6-b69cf3b6e0c3, Content: How often do you visit art galleries or museums?, Number: 4, QuestionType: Art 🎨
ID: dae87116-e399-4906-8f1b-f4f3d12c6daa, Content: Who is your favorite artist and why?, Number: 5, QuestionType: Art 🎨
ID: a3c231c1-6363-429c-ba8a-d1266cd9a726, Content: How does art make you feel?, Number: 6, QuestionType: Art 🎨
ID: d7dbe563-8c04-44fb-b59d-ecee96c17ce9, Content: Do you think art is important in society?, Number: 7, QuestionType: Art 🎨
ID: 2b18a66e-fe6e-4774-82e4-2df8bc8b365f, Content: Can art change the way people think?, Number: 8, QuestionType: Art 🎨
ID: 99b1544f-1b55-4fe0-9f29-c23dd3a50e12, Content: Do you think art should be taught in schools?, Number: 9, QuestionType: Art 🎨
ID: 0f39e82c-13c9-4bf0-acce-e02cb1902884, Content: How has art changed over the years?, Number: 10, QuestionType: Art 🎨
ID: 5c3b0484-dd41-43d0-a086-cb6c35dbdf19, Content: Do you ride bicycles often?, Number: 1, QuestionType: Bicycles 🚲
ID: 5a40bc4a-0478-4b5e-9e1b-d2200d5b98c8, Content: What do you like about riding bicycles?, Number: 2, QuestionType: Bicycles 🚲
ID: 1db4d789-a94e-4867-aa18-1c23f274faf0, Content: Where do you usually ride your bicycle?, Number: 3, QuestionType: Bicycles 🚲
ID: 96d3218a-81a1-4cd8-8910-a8b58bdd9ab2, Content: What are the benefits of riding bicycles?, Number: 4, QuestionType: Bicycles 🚲
ID: ef61f2e0-378c-4348-a79e-75100729128e, Content: Do you think bicycles are popular in your country?, Number: 5, QuestionType: Bicycles 🚲
ID: 5a1f4cc3-e163-4339-bc43-547ca3446c01, Content: Have you ever been on a long bicycle trip?, Number: 6, QuestionType: Bicycles 🚲
ID: bb0074cd-2c75-4e20-bd43-bedfdb7e21a2, Content: Do you prefer riding bicycles alone or with others?, Number: 7, QuestionType: Bicycles 🚲
ID: 69991da7-3a96-4f35-b7db-c7eb2c5cb560, Content: Would you like to see more bicycle lanes in your city?, Number: 8, QuestionType: Bicycles 🚲
ID: 301ff91f-9991-4f7b-93c4-887a27162bf0, Content: What safety measures should cyclists take?, Number: 9, QuestionType: Bicycles 🚲
ID: 0fc273d4-2c48-4d94-9736-e80c04a9f623, Content: Can you ride a bicycle? If yes, how did you learn?, Number: 10, QuestionType: Bicycles 🚲
ID: 71ff4a71-1bc1-4880-987c-5b4db4b5c615, Content: How do you usually celebrate your birthday?, Number: 1, QuestionType: Birthdays 🎂
ID: e0022cf3-afbd-40f2-8e4b-ae69765aa0bb, Content: What is your most memorable birthday celebration?, Number: 2, QuestionType: Birthdays 🎂
ID: bf732edc-af1c-492a-8ccc-b3d69767d1f6, Content: Do you think birthdays are important?, Number: 3, QuestionType: Birthdays 🎂
ID: fab8e72a-c2f1-44a4-bc12-00473c7b9e70, Content: How do people celebrate birthdays in your country?, Number: 4, QuestionType: Birthdays 🎂
ID: ae71e439-7c8e-4e01-9975-744ea46f50d2, Content: Do you enjoy attending birthday parties?, Number: 5, QuestionType: Birthdays 🎂
ID: 8414425a-90c7-4607-a046-939c27e592c6, Content: What was the best birthday gift you ever received?, Number: 6, QuestionType: Birthdays 🎂
ID: c1c40ba3-2a4b-4976-a338-52c93a9bea19, Content: Do you prefer small or large birthday celebrations?, Number: 7, QuestionType: Birthdays 🎂
ID: 5dbbf0d0-68c7-41fd-8960-c8134eabf745, Content: How do you plan birthday parties for your family or friends?, Number: 8, QuestionType: Birthdays 🎂
ID: 0b461a82-f7cf-43dd-9e54-5d7543208760, Content: Do you think birthdays become less important as people get older?, Number: 9, QuestionType: Birthdays 🎂
ID: 4417f9e8-0804-4694-9003-9a9f2352be6f, Content: Can you remember a particularly special birthday from your childhood?, Number: 10, QuestionType: Birthdays 🎂
ID: 01656007-321f-4db4-9980-571acc82b8a0, Content: Can you describe your childhood?, Number: 1, QuestionType: Childhood 👶
ID: dd7e3841-989e-4655-8c96-86d275fa0a7f, Content: What were your favorite childhood activities?, Number: 2, QuestionType: Childhood 👶
ID: b90f0d11-b53c-43fe-b5b7-1c1dd726a4c0, Content: Did you have any special toys or games you liked to play with?, Number: 3, QuestionType: Childhood 👶
ID: b9d6081e-f1ba-436e-8439-d2271bf10e1e, Content: What was your favorite subject in school when you were a child?, Number: 4, QuestionType: Childhood 👶
ID: 361f51dd-29ce-4f3f-af0b-814f7d6cc87f, Content: How has your childhood influenced your life today?, Number: 5, QuestionType: Childhood 👶
ID: 215e8af3-82ae-4954-a9ba-fa709afad332, Content: What do you miss the most about your childhood?, Number: 6, QuestionType: Childhood 👶
ID: 09146755-1e3d-435c-9fdc-25ff8e492841, Content: Did you have any pets when you were growing up?, Number: 7, QuestionType: Childhood 👶
ID: 73f27048-1cba-4946-90c0-1ae576c1b5f1, Content: How did you spend your free time as a child?, Number: 8, QuestionType: Childhood 👶
ID: 8e13e245-e817-4db0-b3fe-fe689f7558e6, Content: Who was your best friend when you were young?, Number: 9, QuestionType: Childhood 👶
ID: 09dd7848-a321-4ca0-8996-3a16b3363f1f, Content: Can you share a funny or memorable childhood story?, Number: 10, QuestionType: Childhood 👶
ID: 3192cd84-77f6-44f7-bb98-8aedffdb0880, Content: How would you describe your fashion style?, Number: 1, QuestionType: Clothes 👗
ID: aed0b6c6-6e57-4aab-a26c-76968adc5266, Content: Do you enjoy shopping for clothes?, Number: 2, QuestionType: Clothes 👗
ID: 3ca6fead-34de-4b33-98b9-0027bab2d497, Content: Where do you usually buy your clothes?, Number: 3, QuestionType: Clothes 👗
ID: 749cd3d8-8704-4503-97b7-d1586b16b45e, Content: Do you prefer comfortable or stylish clothes?, Number: 4, QuestionType: Clothes 👗
ID: e92a09e8-57f5-4630-bbfd-dd9d290663bb, Content: How do you decide what to wear each day?, Number: 5, QuestionType: Clothes 👗
ID: 4a4a28ac-68a9-4537-bfb8-ad5121ced090, Content: Do you have a favorite piece of clothing?, Number: 6, QuestionType: Clothes 👗
